him,,,"Himachali languages; Western Pahari languages","langues himachalis; langues paharis occidentales",ltr
hin,,hi,Hindi,hindi,ltr
hit,,,Hittite,hittite,ltr
hmn,,,"Hmong; Mong",hmong,ttb
hmo,,ho,"Hiri Motu","hiri motu",ltr
hrv,,hr,Croatian,croate,ltr
hsb,,,"Upper Sorbian",haut-sorabe,ltr
hun,,hu,Hungarian,hongrois,ltr
hup,,,Hupa,hupa,ltr
iba,,,Iban,iban,ltr
ibo,,ig,Igbo,igbo,ltr
ice,isl,is,Icelandic,islandais,ltr
ido,,io,Ido,ido,ltr
iii,,ii,"Sichuan Yi; Nuosu","yi de Sichuan",ltr
ijo,,,"Ijo languages","ijo, langues",ltr
iku,,iu,Inuktitut,inuktitut,ltr
ile,,ie,"Interlingue; Occidental",interlingue,ltr
ilo,,,Iloko,ilocano,ltr
ina,,ia,"Interlingua (International Auxiliary Language Association)","interlingua (langue auxiliaire internationale)",ltr
inc,,,"Indic languages","indo-aryennes, langues",ltr
ind,,id,Indonesian,indonésien,ltr
ine,,,"Indo-European languages","indo-européennes, langues",ltr
inh,,,Ingush,ingouche,ltr
ipk,,ik,Inupiaq,inupiaq,ltr
ira,,,"Iranian languages","iraniennes, langues",rtl
iro,,,"Iroquoian languages","iroquoises, langues",ltr
ita,,it,Italian,italien,ltr
jav,,jv,Javanese,javanais,ltr
jbo,,,Lojban,lojban,ltr
jpn,,ja,Japanese,japonais,ttb
jpr,,,Judeo-Persian,judéo-persan,rtl
jrb,,,Judeo-Arabic,judéo-arabe,rtl
kaa,,,Kara-Kalpak,karakalpak,ltr
kab,,,Kabyle,kabyle,ltr
kac,,,"Kachin; Jingpho","kachin; jingpho",ltr
kal,,kl,"Kalaallisut; Greenlandic",groenlandais,ltr
kam,,,Kamba,kamba,ltr
kan,,kn,Kannada,kannada,ltr
kar,,,"Karen languages","karen, langues",ltr
kas,,ks,Kashmiri,kashmiri,rtl
kau,,kr,Kanuri,kanouri,ltr
kaw,,,Kawi,kawi,ltr
kaz,,kk,Kazakh,kazakh,ltr
kbd,,,Kabardian,kabardien,ltr
kha,,,Khasi,khasi,ltr
khi,,,"Khoisan languages","khoïsan, langues",ltr
khm,,km,"Central Khmer","khmer central",ltr
